"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Get users list","tests","Fri Nov 28 12:49:35 UTC 2025","passed","Fri Nov 28 12:49:35 UTC 2025","TestUsers","test_users","",""
"","1","Get user with SQL injection in ID","tests","Fri Nov 28 12:49:54 UTC 2025","passed","Fri Nov 28 12:49:54 UTC 2025","TestUsers","test_users","",""
"","2","Create user with SQL injection attempt","tests","Fri Nov 28 12:49:47 UTC 2025","passed","Fri Nov 28 12:49:47 UTC 2025","TestUsers","test_users","",""
"","1","Get user by ID - user not found","tests","Fri Nov 28 12:49:39 UTC 2025","passed","Fri Nov 28 12:49:39 UTC 2025","TestUsers","test_users","",""
"","0","Get user with SQL injection in ID","tests","Fri Nov 28 12:49:54 UTC 2025","passed","Fri Nov 28 12:49:54 UTC 2025","TestUsers","test_users","",""
"","2","Update user - user not found","tests","Fri Nov 28 12:49:41 UTC 2025","passed","Fri Nov 28 12:49:41 UTC 2025","TestUsers","test_users","",""
"","5","Get all posts for user","tests","Fri Nov 28 12:49:29 UTC 2025","passed","Fri Nov 28 12:49:29 UTC 2025","TestPosts","test_posts","",""
"","1","Create user - negative","tests","Fri Nov 28 12:49:37 UTC 2025","passed","Fri Nov 28 12:49:37 UTC 2025","TestUsers","test_users","",""
"","1","Get user with SQL injection in ID","tests","Fri Nov 28 12:49:53 UTC 2025","passed","Fri Nov 28 12:49:53 UTC 2025","TestUsers","test_users","",""
"","1","Create user with SQL injection attempt","tests","Fri Nov 28 12:49:51 UTC 2025","passed","Fri Nov 28 12:49:51 UTC 2025","TestUsers","test_users","",""
"","1","Create a user todo - negative test - missing required fields","tests","Fri Nov 28 12:49:34 UTC 2025","passed","Fri Nov 28 12:49:34 UTC 2025","TestTodos","test_todos","",""
"","1","Delete user - user not found","tests","Fri Nov 28 12:49:43 UTC 2025","passed","Fri Nov 28 12:49:43 UTC 2025","TestUsers","test_users","",""
